channel,lane,id,title,views,channel_median,outlier,age,recency_boost,transfer_mult,signals,FINAL,dur_s,door_a_eligible,url
matthew_berman,in-niche-builder,a-IOrLvd9B4,Earth SHATTERING New AI Model,65000,17000,3.82,95d,0.6,1.0,-,2.29,118,no,https://youtube.com/shorts/a-IOrLvd9B4
GregIsenberg,adjacent-startup,cUG0TGwE9-4,Design Beautiful UI/UX with Weavy AI,52000,14000,3.71,131d,0.6,1.0,-,2.23,52,no,https://youtube.com/shorts/cUG0TGwE9-4
GregIsenberg,adjacent-startup,QlIAW17I4ZE,How to get the most out of Claude Opus 4.5,51000,14000,3.64,215d,0.6,1.0,-,2.19,60,no,https://youtube.com/shorts/QlIAW17I4ZE
nateherk,in-niche,F3nYY3N2wgw,How to Use Claude Code for 99% CHEAPER,105000,30000,3.5,99d,0.6,1.0,-,2.1,117,no,https://youtube.com/shorts/F3nYY3N2wgw
matthew_berman,in-niche-builder,5-7PJLCw8JA,"$400,000 from Claude Code",45000,17000,2.65,58d,0.6,1.3,money,2.06,56,no,https://youtube.com/shorts/5-7PJLCw8JA
matthew_berman,in-niche-builder,KJrqRJzSErw,Anthropic is in trouble,56000,17000,3.29,79d,0.6,1.0,-,1.98,71,no,https://youtube.com/shorts/KJrqRJzSErw
davidondrej,in-niche-builder,L0HEWTP1-L4,"Hermes Agent is good but, it has one problem...",9000,4600,1.96,22d,1.0,1.0,-,1.96,45,no,https://youtube.com/shorts/L0HEWTP1-L4
davidondrej,in-niche-builder,guBhKcmd4Wc,Hermes Agent killed OpenClaw,15000,4600,3.26,58d,0.6,1.0,-,1.96,46,no,https://youtube.com/shorts/guBhKcmd4Wc
ramitsethi,adjacent-money,8D-shxY0X4g,Is Homeownership Really Financial Freedom?,17000,9100,1.87,28d,1.0,1.0,-,1.87,60,no,https://youtube.com/shorts/8D-shxY0X4g
davidondrej,in-niche-builder,ytygMoijP4c,Karpathy joins Anthropic: the end of OpenAI’s dominance?,14000,4600,3.04,50d,0.6,1.0,-,1.83,33,no,https://youtube.com/shorts/ytygMoijP4c
davidondrej,in-niche-builder,1b8e64Nxd1E,The reason OpenClaw feels unusable lately,14000,4600,3.04,52d,0.6,1.0,-,1.83,30,no,https://youtube.com/shorts/1b8e64Nxd1E
matthew_berman,in-niche-builder,cLuoF9nZwKE,Robot sets the sorting record,50000,17000,2.94,59d,0.6,1.0,-,1.76,48,no,https://youtube.com/shorts/cLuoF9nZwKE
NickSaraev,in-niche,keJniazAhQY,This piece of information changed my perspective on hiring and business as a whole.,22000,8200,2.68,643d,0.6,1.0,-,1.61,31,no,https://youtube.com/shorts/keJniazAhQY
aliabdaal,adjacent-time,BUeQze2AABM,Ranking AI tools,67000,25000,2.68,47d,0.6,1.0,-,1.61,77,no,https://youtube.com/shorts/BUeQze2AABM
GregIsenberg,adjacent-startup,nuyxQgvzrAA,Gemini 3.0 is INSANE,36000,13500,2.67,235d,0.6,1.0,-,1.6,44,no,https://youtube.com/shorts/nuyxQgvzrAA
GregIsenberg,adjacent-startup,kYqxVTtkyYQ,The best AI startup opportunities will be automating boring mundane tasks of knowledge workers,36000,13500,2.67,492d,0.6,1.0,-,1.6,36,no,https://youtube.com/shorts/kYqxVTtkyYQ
nateherk,in-niche,EeY8wqJ5BOI,Seedance 2.0 + Claude Code = Beautiful $10k Websites,61000,30000,2.03,92d,0.6,1.3,money,1.59,127,no,https://youtube.com/shorts/EeY8wqJ5BOI
matthew_berman,in-niche-builder,fqKrgfGOOqI,Best Models Tier List,44000,17000,2.59,106d,0.6,1.0,-,1.55,116,no,https://youtube.com/shorts/fqKrgfGOOqI
aliabdaal,adjacent-time,9MoI57125pk,Start with the lifestyle you want - from Professor @Cal Newport,63000,25000,2.52,34d,0.6,1.0,-,1.51,51,no,https://youtube.com/shorts/9MoI57125pk
davidondrej,in-niche-builder,bgqVq8K8dc4,Google and their phenomenal growth,11000,4600,2.39,66d,0.6,1.0,-,1.43,34,no,https://youtube.com/shorts/bgqVq8K8dc4
davidondrej,in-niche-builder,gMsOwljBpwU,Why I love supabase,11000,4600,2.39,68d,0.6,1.0,-,1.43,46,no,https://youtube.com/shorts/gMsOwljBpwU
nateherk,in-niche,HF7eymL2-MM,5 Claude Code Hacks to Build Beautiful Websites,67000,30000,2.23,143d,0.6,1.0,-,1.34,128,no,https://youtube.com/shorts/HF7eymL2-MM
nateherk,in-niche,AhcN5kLeX2k,I Turned Clawdbot Into the Ultimate Personal Assistant,65000,29000,2.24,163d,0.6,1.0,-,1.34,106,no,https://youtube.com/shorts/AhcN5kLeX2k
nateherk,in-niche,4YJUHyfrTIw,Claude Code Builds n8n Workflows INSTANTLY... and Better Than Me,65000,29000,2.24,178d,0.6,1.0,time+tech_term,1.34,108,no,https://youtube.com/shorts/4YJUHyfrTIw
GregIsenberg,adjacent-startup,qYLDENqtpiY,5 tips for OpenClaw,31000,14000,2.21,87d,0.6,1.0,-,1.33,52,no,https://youtube.com/shorts/qYLDENqtpiY
nateherk,in-niche,BXWpzOIVctI,Hitting Claude Code Limits? Here Are My Best Tips.,66000,30000,2.2,101d,0.6,1.0,-,1.32,129,no,https://youtube.com/shorts/BXWpzOIVctI
davidondrej,in-niche-builder,fUCt5iLaaQg,TRUMP blocked AI Regulation… here’s what it means,10000,4600,2.17,51d,0.6,1.0,-,1.3,56,no,https://youtube.com/shorts/fUCt5iLaaQg
nateherk,in-niche,p9mgmKhUz_4,Andrej Karpathy Just 10x'd Everyone's Claude Code,64000,30000,2.13,97d,0.6,1.0,-,1.28,122,no,https://youtube.com/shorts/p9mgmKhUz_4
davidondrej,in-niche-builder,QHGPVC1kVDI,The Poland Nobody Shows You,9800,4600,2.13,37d,0.6,1.0,-,1.28,31,no,https://youtube.com/shorts/QHGPVC1kVDI
matthew_berman,in-niche-builder,GaiZvDn_Viw,Every time I think I've caught up with the AI news...,36000,17000,2.12,33d,0.6,1.0,-,1.27,16,no,https://youtube.com/shorts/GaiZvDn_Viw
NickSaraev,in-niche,6Q1KopZ4WTk,Why I like B2B tech as a target niche for automation agencies 💻,17000,8200,2.07,649d,0.6,1.0,-,1.24,38,no,https://youtube.com/shorts/6Q1KopZ4WTk
matthew_berman,in-niche-builder,cVqdbXlmXqs,China Takes Over,35000,17000,2.06,76d,0.6,1.0,-,1.24,95,no,https://youtube.com/shorts/cVqdbXlmXqs
davidondrej,in-niche-builder,W2oxjlOkxRg,Having kids late is disrespectful,9400,4600,2.04,55d,0.6,1.0,-,1.23,19,no,https://youtube.com/shorts/W2oxjlOkxRg
aliabdaal,adjacent-time,IuhoSd92TFE,The Odyssey Plan: Stanford's best hack,51000,25000,2.04,41d,0.6,1.0,-,1.22,57,no,https://youtube.com/shorts/IuhoSd92TFE
davidondrej,in-niche-builder,d2K8yLrdcjc,How Twitter Rewired My Brain,9300,4600,2.02,35d,0.6,1.0,-,1.21,44,no,https://youtube.com/shorts/d2K8yLrdcjc
GregIsenberg,adjacent-startup,CXCCxZEoSiA,How to get the most out of AI tools,28000,14000,2.0,490d,0.6,1.0,-,1.2,36,no,https://youtube.com/shorts/CXCCxZEoSiA
davidondrej,in-niche-builder,gkcoKXxHtvg,Never choose this job!,9200,4600,2.0,43d,0.6,1.0,-,1.2,35,no,https://youtube.com/shorts/gkcoKXxHtvg
matthew_berman,in-niche-builder,Co6Z0K6-aI0,Next MOST IMPORTANT App Ever,34000,17000,2.0,70d,0.6,1.0,-,1.2,83,no,https://youtube.com/shorts/Co6Z0K6-aI0
GregIsenberg,adjacent-startup,gOxtBh3Fuak,How to monetize directories,26000,14000,1.86,514d,0.6,1.0,-,1.11,29,no,https://youtube.com/shorts/gOxtBh3Fuak
davidondrej,in-niche-builder,E6jQGg6O9NM,Destroy your competition with these 3 things,8500,4600,1.85,69d,0.6,1.0,-,1.11,25,no,https://youtube.com/shorts/E6jQGg6O9NM
