channel,lane,id,title,views,channel_median,outlier,age,recency_boost,transfer_mult,signals,FINAL,dur_s,door_a_eligible,url
matthew_berman,in-niche-builder,rg9oHMXzLl0,GPT 5.6 is officially NOT BANNED (even worse),56000,20000,2.8,15d,1.0,1.0,-,2.8,51,no,https://youtube.com/shorts/rg9oHMXzLl0
ramitsethi,adjacent-money,ozWwrfZLUkI,“Am I going to spend my entire retirement alone?”,18000,9000,2.0,8d,1.25,1.0,-,2.5,24,YES,https://youtube.com/shorts/ozWwrfZLUkI
NickSaraev,in-niche,YfYv0_TEJ3g,My take on making money. What're your guys thoughts?,26000,8200,3.17,651d,0.6,1.3,money,2.47,43,no,https://youtube.com/shorts/YfYv0_TEJ3g
matthew_berman,in-niche-builder,ny6g0zyTuzY,"$1,300,000 in TOKENS",69000,22000,3.14,36d,0.6,1.3,money,2.45,39,no,https://youtube.com/shorts/ny6g0zyTuzY
GregIsenberg,adjacent-startup,2VSmDS3ALnw,How to use Obsidian with Claude in 61 seconds,61000,15000,4.07,43d,0.6,1.0,-,2.44,61,no,https://youtube.com/shorts/2VSmDS3ALnw
nateherk,in-niche,F3nYY3N2wgw,How to Use Claude Code for 99% CHEAPER,104000,30000,3.47,98d,0.6,1.0,-,2.08,117,no,https://youtube.com/shorts/F3nYY3N2wgw
GregIsenberg,adjacent-startup,cUG0TGwE9-4,Design Beautiful UI/UX with Weavy AI,52000,15000,3.47,130d,0.6,1.0,-,2.08,52,no,https://youtube.com/shorts/cUG0TGwE9-4
GregIsenberg,adjacent-startup,QlIAW17I4ZE,How to get the most out of Claude Opus 4.5,51000,15000,3.4,214d,0.6,1.0,-,2.04,60,no,https://youtube.com/shorts/QlIAW17I4ZE
matthew_berman,in-niche-builder,mR2Rh9RtyR4,"Turns out, HTML is King",74000,22000,3.36,59d,0.6,1.0,-,2.02,66,no,https://youtube.com/shorts/mR2Rh9RtyR4
davidondrej,in-niche-builder,guBhKcmd4Wc,Hermes Agent killed OpenClaw,15000,4600,3.26,57d,0.6,1.0,-,1.96,46,no,https://youtube.com/shorts/guBhKcmd4Wc
davidondrej,in-niche-builder,ytygMoijP4c,Karpathy joins Anthropic: the end of OpenAI’s dominance?,14000,4600,3.04,49d,0.6,1.0,-,1.83,33,no,https://youtube.com/shorts/ytygMoijP4c
davidondrej,in-niche-builder,1b8e64Nxd1E,The reason OpenClaw feels unusable lately,14000,4600,3.04,51d,0.6,1.0,-,1.83,30,no,https://youtube.com/shorts/1b8e64Nxd1E
aliabdaal,adjacent-time,BUeQze2AABM,Ranking AI tools,67000,23000,2.91,46d,0.6,1.0,-,1.75,77,no,https://youtube.com/shorts/BUeQze2AABM
matthew_berman,in-niche-builder,KJrqRJzSErw,Anthropic is in trouble,56000,20000,2.8,78d,0.6,1.0,-,1.68,71,no,https://youtube.com/shorts/KJrqRJzSErw
aliabdaal,adjacent-time,9MoI57125pk,Start with the lifestyle you want - from Professor @Cal Newport,63000,23000,2.74,33d,0.6,1.0,-,1.64,51,no,https://youtube.com/shorts/9MoI57125pk
NickSaraev,in-niche,keJniazAhQY,This piece of information changed my perspective on hiring and business as a whole.,22000,8200,2.68,642d,0.6,1.0,-,1.61,31,no,https://youtube.com/shorts/keJniazAhQY
matthew_berman,in-niche-builder,5-7PJLCw8JA,"$400,000 from Claude Code",45000,22000,2.05,57d,0.6,1.3,money,1.6,56,no,https://youtube.com/shorts/5-7PJLCw8JA
nateherk,in-niche,EeY8wqJ5BOI,Seedance 2.0 + Claude Code = Beautiful $10k Websites,61000,30000,2.03,91d,0.6,1.3,money,1.59,127,no,https://youtube.com/shorts/EeY8wqJ5BOI
GregIsenberg,adjacent-startup,nuyxQgvzrAA,Gemini 3.0 is INSANE,36000,15000,2.4,234d,0.6,1.0,-,1.44,44,no,https://youtube.com/shorts/nuyxQgvzrAA
GregIsenberg,adjacent-startup,kYqxVTtkyYQ,The best AI startup opportunities will be automating boring mundane tasks of knowledge workers,36000,15000,2.4,491d,0.6,1.0,-,1.44,36,no,https://youtube.com/shorts/kYqxVTtkyYQ
davidondrej,in-niche-builder,bgqVq8K8dc4,Google and their phenomenal growth,11000,4600,2.39,65d,0.6,1.0,-,1.43,34,no,https://youtube.com/shorts/bgqVq8K8dc4
davidondrej,in-niche-builder,gMsOwljBpwU,Why I love supabase,11000,4600,2.39,67d,0.6,1.0,-,1.43,46,no,https://youtube.com/shorts/gMsOwljBpwU
matthew_berman,in-niche-builder,cLuoF9nZwKE,Robot sets the sorting record,50000,22000,2.27,58d,0.6,1.0,-,1.36,48,no,https://youtube.com/shorts/cLuoF9nZwKE
nateherk,in-niche,HF7eymL2-MM,5 Claude Code Hacks to Build Beautiful Websites,67000,30000,2.23,142d,0.6,1.0,-,1.34,128,no,https://youtube.com/shorts/HF7eymL2-MM
aliabdaal,adjacent-time,IuhoSd92TFE,The Odyssey Plan: Stanford's best hack,51000,23000,2.22,40d,0.6,1.0,-,1.33,57,no,https://youtube.com/shorts/IuhoSd92TFE
nateherk,in-niche,BXWpzOIVctI,Hitting Claude Code Limits? Here Are My Best Tips.,66000,30000,2.2,100d,0.6,1.0,-,1.32,129,no,https://youtube.com/shorts/BXWpzOIVctI
nateherk,in-niche,AhcN5kLeX2k,I Turned Clawdbot Into the Ultimate Personal Assistant,65000,30000,2.17,162d,0.6,1.0,-,1.3,106,no,https://youtube.com/shorts/AhcN5kLeX2k
nateherk,in-niche,4YJUHyfrTIw,Claude Code Builds n8n Workflows INSTANTLY... and Better Than Me,65000,30000,2.17,177d,0.6,1.0,time+tech_term,1.3,108,no,https://youtube.com/shorts/4YJUHyfrTIw
davidondrej,in-niche-builder,fUCt5iLaaQg,TRUMP blocked AI Regulation… here’s what it means,10000,4600,2.17,50d,0.6,1.0,-,1.3,56,no,https://youtube.com/shorts/fUCt5iLaaQg
nateherk,in-niche,p9mgmKhUz_4,Andrej Karpathy Just 10x'd Everyone's Claude Code,64000,30000,2.13,96d,0.6,1.0,-,1.28,122,no,https://youtube.com/shorts/p9mgmKhUz_4
davidondrej,in-niche-builder,QHGPVC1kVDI,The Poland Nobody Shows You,9800,4600,2.13,36d,0.6,1.0,-,1.28,31,no,https://youtube.com/shorts/QHGPVC1kVDI
NickSaraev,in-niche,6Q1KopZ4WTk,Why I like B2B tech as a target niche for automation agencies 💻,17000,8200,2.07,648d,0.6,1.0,-,1.24,38,no,https://youtube.com/shorts/6Q1KopZ4WTk
GregIsenberg,adjacent-startup,qYLDENqtpiY,5 tips for OpenClaw,31000,15000,2.07,86d,0.6,1.0,-,1.24,52,no,https://youtube.com/shorts/qYLDENqtpiY
davidondrej,in-niche-builder,W2oxjlOkxRg,Having kids late is disrespectful,9400,4600,2.04,54d,0.6,1.0,-,1.23,19,no,https://youtube.com/shorts/W2oxjlOkxRg
davidondrej,in-niche-builder,d2K8yLrdcjc,How Twitter Rewired My Brain,9300,4600,2.02,34d,0.6,1.0,-,1.21,44,no,https://youtube.com/shorts/d2K8yLrdcjc
davidondrej,in-niche-builder,gkcoKXxHtvg,Never choose this job!,9200,4600,2.0,42d,0.6,1.0,-,1.2,35,no,https://youtube.com/shorts/gkcoKXxHtvg
