channel,lane,id,title,views,channel_median,outlier,age,recency_boost,transfer_mult,signals,FINAL,dur_s,door_a_eligible,url
ramitsethi,adjacent-money,ZMLvmL_03Gw,$220K Pool... While They Were in Debt?!,21000,8800,2.39,23d,1.0,1.3,money,3.1,49,no,https://youtube.com/shorts/ZMLvmL_03Gw
ramitsethi,adjacent-money,ozWwrfZLUkI,“Am I going to spend my entire retirement alone?”,18000,8800,2.05,7d,1.5,1.0,-,3.07,24,YES,https://youtube.com/shorts/ozWwrfZLUkI
NickSaraev,in-niche,YfYv0_TEJ3g,My take on making money. What're your guys thoughts?,26000,8100,3.21,650d,0.6,1.3,money,2.5,43,no,https://youtube.com/shorts/YfYv0_TEJ3g
GregIsenberg,adjacent-startup,2VSmDS3ALnw,How to use Obsidian with Claude in 61 seconds,61000,15000,4.07,42d,0.6,1.0,-,2.44,61,no,https://youtube.com/shorts/2VSmDS3ALnw
nateherk,in-niche,F3nYY3N2wgw,How to Use Claude Code for 99% CHEAPER,104000,30000,3.47,97d,0.6,1.0,-,2.08,117,no,https://youtube.com/shorts/F3nYY3N2wgw
GregIsenberg,adjacent-startup,cUG0TGwE9-4,Design Beautiful UI/UX with Weavy AI,52000,15000,3.47,129d,0.6,1.0,-,2.08,52,no,https://youtube.com/shorts/cUG0TGwE9-4
GregIsenberg,adjacent-startup,QlIAW17I4ZE,How to get the most out of Claude Opus 4.5,51000,15000,3.4,213d,0.6,1.0,-,2.04,60,no,https://youtube.com/shorts/QlIAW17I4ZE
aliabdaal,adjacent-time,BUeQze2AABM,Ranking AI tools,67000,23000,2.91,45d,0.6,1.0,-,1.75,77,no,https://youtube.com/shorts/BUeQze2AABM
aliabdaal,adjacent-time,9MoI57125pk,Start with the lifestyle you want - from Professor @Cal Newport,63000,23000,2.74,32d,0.6,1.0,-,1.64,51,no,https://youtube.com/shorts/9MoI57125pk
NickSaraev,in-niche,keJniazAhQY,This piece of information changed my perspective on hiring and business as a whole.,22000,8100,2.72,641d,0.6,1.0,-,1.63,31,no,https://youtube.com/shorts/keJniazAhQY
nateherk,in-niche,EeY8wqJ5BOI,Seedance 2.0 + Claude Code = Beautiful $10k Websites,60000,30000,2.0,90d,0.6,1.3,money,1.56,127,no,https://youtube.com/shorts/EeY8wqJ5BOI
GregIsenberg,adjacent-startup,nuyxQgvzrAA,Gemini 3.0 is INSANE,36000,15000,2.4,233d,0.6,1.0,-,1.44,44,no,https://youtube.com/shorts/nuyxQgvzrAA
GregIsenberg,adjacent-startup,kYqxVTtkyYQ,The best AI startup opportunities will be automating boring mundane tasks of knowledge workers,36000,15000,2.4,490d,0.6,1.0,-,1.44,36,no,https://youtube.com/shorts/kYqxVTtkyYQ
nateherk,in-niche,HF7eymL2-MM,5 Claude Code Hacks to Build Beautiful Websites,67000,30000,2.23,141d,0.6,1.0,-,1.34,128,no,https://youtube.com/shorts/HF7eymL2-MM
aliabdaal,adjacent-time,IuhoSd92TFE,The Odyssey Plan: Stanford's best hack,51000,23000,2.22,39d,0.6,1.0,-,1.33,57,no,https://youtube.com/shorts/IuhoSd92TFE
nateherk,in-niche,BXWpzOIVctI,Hitting Claude Code Limits? Here Are My Best Tips.,65000,30000,2.17,99d,0.6,1.0,-,1.3,129,no,https://youtube.com/shorts/BXWpzOIVctI
nateherk,in-niche,AhcN5kLeX2k,I Turned Clawdbot Into the Ultimate Personal Assistant,65000,30000,2.17,161d,0.6,1.0,-,1.3,106,no,https://youtube.com/shorts/AhcN5kLeX2k
nateherk,in-niche,4YJUHyfrTIw,Claude Code Builds n8n Workflows INSTANTLY... and Better Than Me,65000,30000,2.17,176d,0.6,1.0,time+tech_term,1.3,108,no,https://youtube.com/shorts/4YJUHyfrTIw
nateherk,in-niche,p9mgmKhUz_4,Andrej Karpathy Just 10x'd Everyone's Claude Code,64000,30000,2.13,95d,0.6,1.0,-,1.28,122,no,https://youtube.com/shorts/p9mgmKhUz_4
NickSaraev,in-niche,6Q1KopZ4WTk,Why I like B2B tech as a target niche for automation agencies 💻,17000,8100,2.1,647d,0.6,1.0,-,1.26,38,no,https://youtube.com/shorts/6Q1KopZ4WTk
GregIsenberg,adjacent-startup,qYLDENqtpiY,5 tips for OpenClaw,31000,15000,2.07,85d,0.6,1.0,-,1.24,52,no,https://youtube.com/shorts/qYLDENqtpiY
